Product Name,Brand Name,Price,Discount,Total Reviews,Product Rating
Globalstar 6 LITRES STAINLESS STEEL  6L  SINGLE  TANK Energy Efficient Double Electric Chips /Chicken /MANDAZIS Deep Fryer Machine,Globalstar,"KSh 4,299",N/A,N/A,N/A
Computer Desktop CPU Power Cable,Computer,KSh 260,50%,N/A,N/A
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black,AILYONS,KSh 469,66%,N/A,N/A
Sosoft Fabric Softener Luxury - 750ml,Sosoft,KSh 239,6%,N/A,N/A
MK Electric Fridge Guard Plus Free 4-Way Extension Cable,MK,KSh 699,18%,N/A,N/A
Men's Sneakers With High-top Casual Sneakers White&Grey,Men's,"KSh 1,139",11%,N/A,N/A
Lexar NS100 256GB 2.5 SSD,Lexar,"KSh 3,387",49%,N/A,N/A
"HP S1000 Wireless Silent Mouse, 1,600 DPI, Black (1YR WRTY)",HP,"KSh 1,500",25%,N/A,N/A
Lyons LST3211W 32”INCH Smart Android Frameless 4K Full HD TV - Black () (1YR WRTY),Lyons,"KSh 9,999",47%,N/A,N/A
Cutting/Chopping Board + FREE Knife,Cutting/Chopping,KSh 440,12%,N/A,N/A
Lyons AN-2001K High Quality Electric Dry Iron Box with Non-stick sole plate   - 1000W Blue(1YR WRTY),Lyons,KSh 659,34%,N/A,N/A
"Hot selling XG88PRO Bluetooth Sunglasses, Wireless 5.3 Stereo OWS Bluetooth Earphones, Cycling Sunglasses",Hot,"KSh 1,119",8%,N/A,N/A
Lyons GK-012 Stainless Steel Double Burner Gas Cooker Table Top Gas Stove -Grey (1YR WRTY),Lyons,"KSh 1,399",44%,N/A,N/A
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1YR WRTY),AILYONS,KSh 799,50%,N/A,N/A
HUILE Portable Manual Hand Press Water Bottle Dispenser Pump,HUILE,KSh 420,24%,N/A,N/A
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished",Apple,"KSh 22,500",25%,N/A,N/A
ARHANORY 5 In 1 Multi-style Earrings Ladies Hoop Pearl For Women Girl,ARHANORY,KSh 310,34%,N/A,N/A
Fitted Sheet Waterproof Mattress Protector Solid Pillow Bed Cover Solid Bedsheets Twin to California King Size,Fitted,"KSh 2,222",N/A,N/A,N/A
TWS Airpods Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones..,TWS,KSh 359,55%,N/A,N/A
Johari Three Years Warrant High Quilted Home Living Bedroom Soft And Long Lasting (Random Color Dispatch),Johari,"KSh 3,925 - KSh 8,798",32%,N/A,N/A
Mythco 46Pcs Socket Wrench Set - Auto Repair Tool Kit Black Ratchet,Mythco,KSh 845,49%,N/A,N/A
Enchanteur VIVACIOUS PERFUMED SHOWER GEL 250ML,Enchanteur,KSh 450,25%,N/A,N/A
1200 Pcs 3mm Nail Art Rhinestone Gem Crystal - Suitable For DIY And Decoration,1200,KSh 360,42%,N/A,N/A
Mythco 25-in-1 Small Precision Screwdriver Set Magnetic Mini Repair Tool Kit,Mythco,KSh 340,54%,N/A,N/A
DIY Handmade Airplane Model Toys,DIY,KSh 238,82%,N/A,N/A
Visual Ear Scoop Cordless Cleaning Endoscope HD Ear Pickers,Visual,"KSh 1,497",40%,N/A,N/A
ASHION 2024 Men's Casual Shoes Big Size  Sneakers 39-48,ASHION,KSh 990,52%,N/A,N/A
14-in-1 Sink Wrench,14-in-1,"KSh 1,400",30%,N/A,N/A
Wired Gaming Mouse USB Rechargeable Colorful RGB Mouse,Wired,KSh 201,73%,N/A,N/A
